Wind Nordsee,Wind Altmark,Solar Kraichgau,Gas Moorburg,Gas Franken A,Gas Franken B,Gas Neckar,Peaker Metzingen
0.98,0.98,0.0,1.0,1.0,1.0,1.0,1.0
0.9636,0.9636,0.0,1.0,1.0,1.0,1.0,1.0
0.9157,0.9157,0.0,1.0,1.0,1.0,1.0,1.0
0.8394,0.8394,0.0,1.0,1.0,1.0,1.0,1.0
0.74,0.74,0.0,1.0,1.0,1.0,1.0,1.0
0.6242,0.6242,0.0,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0
0.3758,0.3758,0.1558,1.0,1.0,1.0,1.0,1.0
0.26,0.26,0.3693,1.0,1.0,1.0,1.0,1.0
0.1606,0.1606,0.5862,1.0,1.0,1.0,1.0,1.0
0.0843,0.0843,0.7763,1.0,1.0,1.0,1.0,1.0
0.0364,0.0364,0.9164,1.0,1.0,1.0,1.0,1.0
0.02,0.02,0.9905,1.0,1.0,1.0,1.0,1.0
0.0364,0.0364,0.9905,1.0,1.0,1.0,1.0,1.0
0.0843,0.0843,0.9164,1.0,1.0,1.0,1.0,1.0
0.1606,0.1606,0.7763,1.0,1.0,1.0,1.0,1.0
0.26,0.26,0.5862,1.0,1.0,1.0,1.0,1.0
0.3758,0.3758,0.3693,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.1558,1.0,1.0,1.0,1.0,1.0
0.6242,0.6242,0.0,1.0,1.0,1.0,1.0,1.0
0.74,0.74,0.0,1.0,1.0,1.0,1.0,1.0
0.8394,0.8394,0.0,1.0,1.0,1.0,1.0,1.0
0.9157,0.9157,0.0,1.0,1.0,1.0,1.0,1.0
0.9636,0.9636,0.0,1.0,1.0,1.0,1.0,1.0
