Hamburg Stadt,Magdeburg,Nuernberg,Heilbronn,Stuttgart,Esslingen,Reutlingen
322.6,161.3,421.8,210.9,471.4,111.7,93.0
322.9,161.5,422.3,211.1,472.0,111.8,93.2
324.0,162.0,423.6,211.8,473.5,112.1,93.5
326.4,163.2,426.8,213.4,477.1,113.0,94.2
331.1,165.6,433.0,216.5,484.0,114.6,95.5
339.1,169.5,443.4,221.7,495.6,117.4,97.8
350.1,175.0,457.8,228.9,511.6,121.2,101.0
362.2,181.1,473.7,236.8,529.4,125.4,104.5
372.7,186.3,487.4,243.7,544.7,129.0,107.5
378.6,189.3,495.1,247.6,553.4,131.1,109.2
379.6,189.8,496.4,248.2,554.8,131.4,109.5
378.4,189.2,494.8,247.4,553.0,131.0,109.1
379.8,189.9,496.6,248.3,555.0,131.5,109.5
388.5,194.2,508.0,254.0,567.8,134.5,112.1
406.6,203.3,531.8,265.9,594.3,140.8,117.3
433.2,216.6,566.4,283.2,633.1,149.9,124.9
463.7,231.9,606.4,303.2,677.8,160.5,133.8
492.3,246.2,643.8,321.9,719.6,170.4,142.0
512.7,256.4,670.5,335.2,749.4,177.5,147.9
520.1,260.0,680.1,340.0,760.1,180.0,150.0
512.6,256.3,670.3,335.1,749.1,177.4,147.9
491.8,245.9,643.1,321.6,718.8,170.2,141.9
462.2,231.1,604.4,302.2,675.5,160.0,133.3
429.2,214.6,561.3,280.6,627.3,148.6,123.8
