de_lignite,de_gas,fr_nuclear,nl_gas,dk_wind,de_solar_new,dk_wind_new
1,1,1,1,0.35,0.0,0.35
1,1,1,1,0.3998,0.0,0.3998
1,1,1,1,0.4486,0.0,0.4486
1,1,1,1,0.4955,0.0,0.4955
1,1,1,1,0.5393,0.0,0.5393
1,1,1,1,0.5793,0.0,0.5793
1,1,1,1,0.6146,0.0,0.6146
1,1,1,1,0.6445,0.2588,0.6445
1,1,1,1,0.6684,0.5,0.6684
1,1,1,1,0.6859,0.7071,0.6859
1,1,1,1,0.6965,0.866,0.6965
1,1,1,1,0.7,0.9659,0.7
1,1,1,1,0.6964,1.0,0.6964
1,1,1,1,0.6857,0.9659,0.6857
1,1,1,1,0.6683,0.866,0.6683
1,1,1,1,0.6443,0.7071,0.6443
1,1,1,1,0.6143,0.5,0.6143
1,1,1,1,0.5789,0.2588,0.5789
1,1,1,1,0.5389,0.0,0.5389
1,1,1,1,0.495,0.0,0.495
1,1,1,1,0.4482,0.0,0.4482
1,1,1,1,0.3994,0.0,0.3994
1,1,1,1,0.3496,0.0,0.3496
1,1,1,1,0.2997,0.0,0.2997
