de_load,fr_load,nl_load,dk_load
4644.4,4053.3,1519.99,759.99
4452.11,3885.48,1457.05,728.53
4331.23,3779.98,1417.49,708.75
4290.0,3744.0,1404.0,702.0
4331.23,3779.98,1417.49,708.75
4452.11,3885.48,1457.05,728.53
4644.4,4053.3,1519.99,759.99
4895.0,4272.0,1602.0,801.0
5186.83,4526.69,1697.51,848.75
5500.0,4800.0,1800.0,900.0
5813.17,5073.31,1902.49,951.25
6105.0,5328.0,1998.0,999.0
6355.6,5546.7,2080.01,1040.01
6547.89,5714.52,2142.95,1071.47
6668.77,5820.02,2182.51,1091.25
6710.0,5856.0,2196.0,1098.0
6668.77,5820.02,2182.51,1091.25
6547.89,5714.52,2142.95,1071.47
6355.6,5546.7,2080.01,1040.01
6105.0,5328.0,1998.0,999.0
5813.17,5073.31,1902.49,951.25
5500.0,4800.0,1800.0,900.0
5186.83,4526.69,1697.51,848.75
4895.0,4272.0,1602.0,801.0
